Load,Bus,BusPhase,kVbase,kWmax,Transformer
OH_264922_1_11,DEV_264923_460,DEV_264923_460-1,0.24,1.059322417,OH_264922_1
OH_264922_1_12,DEV_264923_441,DEV_264923_441-1,0.24,1.059322417,OH_264922_1
OH_264925_1_1,DEV_264926_1570,DEV_264926_1570-1,0.24,1.025050176,OH_264925_1
OH_264925_1_2,DEV_264926_1571,DEV_264926_1571-1,0.24,1.025050176,OH_264925_1
OH_264925_1_3,DEV_264926_1563,DEV_264926_1563-1,0.24,1.025050176,OH_264925_1
OH_264925_1_4,DEV_264926_1564,DEV_264926_1564-1,0.24,1.025050176,OH_264925_1
OH_264925_1_5,DEV_264926_1555,DEV_264926_1555-1,0.24,1.025050176,OH_264925_1
OH_264925_1_6,DEV_264926_1556,DEV_264926_1556-1,0.24,1.025050176,OH_264925_1
OH_264925_1_7,DEV_264926_1550,DEV_264926_1550-1,0.24,1.025050176,OH_264925_1
OH_264925_1_8,DEV_264926_1549,DEV_264926_1549-1,0.24,1.025050176,OH_264925_1
OH_264925_1_9,DEV_264926_1544,DEV_264926_1544-1,0.24,1.025050176,OH_264925_1
OH_264925_1_10,DEV_264926_1525,DEV_264926_1525-1,0.24,1.025050176,OH_264925_1
OH_264925_1_11,DEV_264926_1536,DEV_264926_1536-1,0.24,1.025050176,OH_264925_1
OH_264925_1_12,DEV_264926_1579,DEV_264926_1579-1,0.24,1.025050176,OH_264925_1
OH_264925_1_13,DEV_264926_1578,DEV_264926_1578-1,0.24,1.025050176,OH_264925_1
OH_264925_1_14,DEV_264926_0_1578,DEV_264926_0_1578-1,0.24,1.025050176,OH_264925_1
OH_264925_1_15,DEV_264926_1_1578,DEV_264926_1_1578-1,0.24,1.025050176,OH_264925_1
OH_264925_1_16,DEV_264926_2_1578,DEV_264926_2_1578-1,0.24,1.025050176,OH_264925_1
OH_264925_1_17,DEV_264926_3_1578,DEV_264926_3_1578-1,0.24,1.025050176,OH_264925_1
OH_264928_1_1,DEV_264929_545,DEV_264929_545-1,0.24,1.331375636,OH_264928_1
OH_264928_1_2,DEV_264929_550,DEV_264929_550-1,0.24,1.331375636,OH_264928_1
OH_264928_1_3,DEV_264929_558,DEV_264929_558-1,0.24,1.331375636,OH_264928_1
OH_264928_1_4,DEV_264929_559,DEV_264929_559-1,0.24,1.331375636,OH_264928_1
OH_264928_1_5,DEV_264929_555,DEV_264929_555-1,0.24,1.331375636,OH_264928_1
OH_264928_1_6,DEV_264929_554,DEV_264929_554-1,0.24,1.331375636,OH_264928_1
OH_264928_1_7,DEV_264929_541,DEV_264929_541-1,0.24,1.331375636,OH_264928_1
OH_264928_1_8,DEV_264929_526,DEV_264929_526-1,0.24,1.331375636,OH_264928_1
OH_264928_1_9,DEV_264929_530,DEV_264929_530-1,0.24,1.331375636,OH_264928_1
OH_264928_1_10,DEV_264929_520,DEV_264929_520-1,0.24,1.331375636,OH_264928_1
OH_264928_1_11,DEV_264929_515,DEV_264929_515-1,0.24,1.331375636,OH_264928_1
OH_264928_1_12,DEV_264929_511,DEV_264929_511-1,0.24,1.331375636,OH_264928_1
OH_264928_1_13,DEV_264929_2144,DEV_264929_2144-1,0.24,1.331375636,OH_264928_1
OH_264928_1_14,DEV_264929_512,DEV_264929_512-1,0.24,1.331375636,OH_264928_1
OH_264928_1_15,DEV_264929_560,DEV_264929_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_16,DEV_264929_0_560,DEV_264929_0_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_17,DEV_264929_1_560,DEV_264929_1_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_18,DEV_264929_2_560,DEV_264929_2_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_19,DEV_264929_3_560,DEV_264929_3_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_20,DEV_264929_4_560,DEV_264929_4_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_21,DEV_264929_5_560,DEV_264929_5_560-1,0.24,1.331375636,OH_264928_1
OH_264928_1_22,DEV_264929_6_560,DEV_264929_6_560-1,0.24,1.331375636,OH_264928_1
OH_264931_1_1,DEV_264932_1257,DEV_264932_1257-1,0.24,1.292373333,OH_264931_1
OH_264931_1_2,DEV_264932_1262,DEV_264932_1262-1,0.24,1.292373333,OH_264931_1
OH_264931_1_3,DEV_264932_1258,DEV_264932_1258-1,0.24,1.292373333,OH_264931_1
OH_264931_1_4,DEV_264932_1252,DEV_264932_1252-1,0.24,1.292373333,OH_264931_1
OH_264931_1_5,DEV_264932_1251,DEV_264932_1251-1,0.24,1.292373333,OH_264931_1
OH_264931_1_6,DEV_264932_1246,DEV_264932_1246-1,0.24,1.292373333,OH_264931_1
OH_264931_1_7,DEV_264932_1245,DEV_264932_1245-1,0.24,1.292373333,OH_264931_1
OH_264931_1_8,DEV_264932_1266,DEV_264932_1266-1,0.24,1.292373333,OH_264931_1
OH_264931_1_9,DEV_264932_1272,DEV_264932_1272-1,0.24,1.292373333,OH_264931_1
OH_264931_1_10,DEV_264932_1239,DEV_264932_1239-1,0.24,1.292373333,OH_264931_1
OH_264931_1_11,DEV_264932_0_1239,DEV_264932_0_1239-1,0.24,1.292373333,OH_264931_1
OH_264931_1_12,DEV_264932_1_1239,DEV_264932_1_1239-1,0.24,1.292373333,OH_264931_1
OH_264931_1_13,DEV_264932_2_1239,DEV_264932_2_1239-1,0.24,1.292373333,OH_264931_1
OH_264931_1_14,DEV_264932_3_1239,DEV_264932_3_1239-1,0.24,1.292373333,OH_264931_1
OH_264931_1_15,DEV_264932_4_1239,DEV_264932_4_1239-1,0.24,1.292373333,OH_264931_1
OH_264934_1_1,DEV_264935_87-238,DEV_264935_87-238-1,0.24,1.5889836,OH_264934_1
OH_264934_1_2,DEV_264935_87-244,DEV_264935_87-244-1,0.24,1.5889836,OH_264934_1
OH_264934_1_3,DEV_264935_87-254,DEV_264935_87-254-1,0.24,1.5889836,OH_264934_1
OH_264934_1_4,DEV_264935_87-114,DEV_264935_87-114-1,0.24,1.5889836,OH_264934_1
OH_264934_1_5,DEV_264935_87-113,DEV_264935_87-113-1,0.24,1.5889836,OH_264934_1
OH_264945_1_1,DEV_264947_708,DEV_264947_708-1,0.24,1.181551923,OH_264945_1
OH_264945_1_2,DEV_264947_711,DEV_264947_711-1,0.24,1.181551923,OH_264945_1
OH_264945_1_3,DEV_264947_709,DEV_264947_709-1,0.24,1.181551923,OH_264945_1
OH_264945_1_4,DEV_264947_1033,DEV_264947_1033-1,0.24,1.181551923,OH_264945_1
OH_264945_1_5,DEV_264947_712,DEV_264947_712-1,0.24,1.181551923,OH_264945_1
OH_264945_1_6,DEV_264947_715,DEV_264947_715-1,0.24,1.181551923,OH_264945_1
OH_264945_1_7,DEV_264947_716,DEV_264947_716-1,0.24,1.181551923,OH_264945_1
OH_264945_1_8,DEV_264947_720,DEV_264947_720-1,0.24,1.181551923,OH_264945_1
OH_264945_1_9,DEV_264947_719,DEV_264947_719-1,0.24,1.181551923,OH_264945_1
OH_264945_1_10,DEV_264947_0_P49,DEV_264947_0_P49-1,0.24,1.181551923,OH_264945_1
OH_264945_1_11,DEV_264947_1_P49,DEV_264947_1_P49-1,0.24,1.181551923,OH_264945_1
OH_264945_1_12,DEV_264947_2_P49,DEV_264947_2_P49-1,0.24,1.181551923,OH_264945_1
OH_264945_1_13,DEV_264947_3_P49,DEV_264947_3_P49-1,0.24,1.181551923,OH_264945_1
OH_264953_1_1,DEV_264954_1570,DEV_264954_1570-1,0.24,1.0434326,OH_264953_1
OH_264953_1_2,DEV_264954_1571,DEV_264954_1571-1,0.24,1.0434326,OH_264953_1
OH_264953_1_3,DEV_264954_1563,DEV_264954_1563-1,0.24,1.0434326,OH_264953_1
OH_264953_1_4,DEV_264954_1564,DEV_264954_1564-1,0.24,1.0434326,OH_264953_1
OH_264953_1_5,DEV_264954_1555,DEV_264954_1555-1,0.24,1.0434326,OH_264953_1
OH_264953_1_6,DEV_264954_1556,DEV_264954_1556-1,0.24,1.0434326,OH_264953_1
OH_264953_1_7,DEV_264954_1550,DEV_264954_1550-1,0.24,1.0434326,OH_264953_1
OH_264953_1_8,DEV_264954_1549,DEV_264954_1549-1,0.24,1.0434326,OH_264953_1
OH_264953_1_9,DEV_264954_1544,DEV_264954_1544-1,0.24,1.0434326,OH_264953_1
OH_264953_1_10,DEV_264954_1525,DEV_264954_1525-1,0.24,1.0434326,OH_264953_1
OH_264971_1_1,DEV_51078841_644,DEV_51078841_644-1,0.24,2.164044286,OH_264971_1
OH_264971_1_2,DEV_51078841_648,DEV_51078841_648-1,0.24,2.164044286,OH_264971_1
OH_264971_1_3,DEV_51078841_645,DEV_51078841_645-1,0.24,2.164044286,OH_264971_1
OH_264971_1_4,DEV_51078841_649,DEV_51078841_649-1,0.24,2.164044286,OH_264971_1
OH_264971_1_5,DEV_51078841_640,DEV_51078841_640-1,0.24,2.164044286,OH_264971_1
OH_264971_1_6,DEV_51078841_639,DEV_51078841_639-1,0.24,2.164044286,OH_264971_1
OH_264971_1_7,DEV_51078841_636,DEV_51078841_636-1,0.24,2.164044286,OH_264971_1
OH_264975_1_1,DEV_265003_775,DEV_265003_775-1,0.24,1.435970333,OH_264975_1
OH_264975_1_2,DEV_265003_780,DEV_265003_780-1,0.24,1.435970333,OH_264975_1
OH_264975_1_3,DEV_265003_783,DEV_265003_783-1,0.24,1.435970333,OH_264975_1
OH_264975_1_4,DEV_265003_788,DEV_265003_788-1,0.24,1.435970333,OH_264975_1
OH_264975_1_5,DEV_265003_790,DEV_265003_790-1,0.24,1.435970333,OH_264975_1
OH_264975_1_6,DEV_265003_793,DEV_265003_793-1,0.24,1.435970333,OH_264975_1
OH_264975_1_7,DEV_265003_796,DEV_265003_796-1,0.24,1.435970333,OH_264975_1
OH_264975_1_8,DEV_265003_797,DEV_265003_797-1,0.24,1.435970333,OH_264975_1
OH_264975_1_9,DEV_265003_770,DEV_265003_770-1,0.24,1.435970333,OH_264975_1
OH_265008_1_1,DEV_265012_775,DEV_265012_775-1,0.24,1.1493648,OH_265008_1
OH_265008_1_2,DEV_265012_780,DEV_265012_780-1,0.24,1.1493648,OH_265008_1
OH_265008_1_3,DEV_265012_783,DEV_265012_783-1,0.24,1.1493648,OH_265008_1
OH_265008_1_4,DEV_265012_788,DEV_265012_788-1,0.24,1.1493648,OH_265008_1
OH_265008_1_5,DEV_265012_790,DEV_265012_790-1,0.24,1.1493648,OH_265008_1
OH_265008_1_6,DEV_265012_793,DEV_265012_793-1,0.24,1.1493648,OH_265008_1
OH_265008_1_7,DEV_265012_796,DEV_265012_796-1,0.24,1.1493648,OH_265008_1
OH_265008_1_8,DEV_265012_797,DEV_265012_797-1,0.24,1.1493648,OH_265008_1
OH_265008_1_9,DEV_265012_770,DEV_265012_770-1,0.24,1.1493648,OH_265008_1
OH_265008_1_10,DEV_265012_769,DEV_265012_769-1,0.24,1.1493648,OH_265008_1
OH_265107_1_1,DEV_265153_708,DEV_265153_708-1,0.24,1.876514,OH_265107_1
OH_265107_1_2,DEV_265153_711,DEV_265153_711-1,0.24,1.876514,OH_265107_1
OH_265107_1_3,DEV_265153_709,DEV_265153_709-1,0.24,1.876514,OH_265107_1
OH_265107_1_4,DEV_265153_1033,DEV_265153_1033-1,0.24,1.876514,OH_265107_1
OH_265107_1_5,DEV_265153_712,DEV_265153_712-1,0.24,1.876514,OH_265107_1
OH_265107_1_6,DEV_265153_715,DEV_265153_715-1,0.24,1.876514,OH_265107_1
OH_265107_1_7,DEV_265153_716,DEV_265153_716-1,0.24,1.876514,OH_265107_1
OH_265117_1_1,DEV_265152_87-238,DEV_265152_87-238-1,0.24,1.652543,OH_265117_1
OH_265117_1_2,DEV_265152_87-244,DEV_265152_87-244-1,0.24,1.652543,OH_265117_1
OH_265117_1_3,DEV_265152_87-254,DEV_265152_87-254-1,0.24,1.652543,OH_265117_1
OH_265117_1_4,DEV_265152_87-114,DEV_265152_87-114-1,0.24,1.652543,OH_265117_1
OH_265117_1_5,DEV_265152_87-113,DEV_265152_87-113-1,0.24,1.652543,OH_265117_1
OH_51061590_1_1,DEV_264120_1570,DEV_264120_1570-1,0.24,2.6085815,OH_51061590_1
OH_51061590_1_2,DEV_264120_1571,DEV_264120_1571-1,0.24,2.6085815,OH_51061590_1
OH_51061590_1_3,DEV_264120_1563,DEV_264120_1563-1,0.24,2.6085815,OH_51061590_1
OH_51061590_1_4,DEV_264120_1564,DEV_264120_1564-1,0.24,2.6085815,OH_51061590_1
OH_51120111_1_1,DEV_264140_545,DEV_264140_545-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_2,DEV_264140_550,DEV_264140_550-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_3,DEV_264140_558,DEV_264140_558-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_4,DEV_264140_559,DEV_264140_559-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_5,DEV_264140_555,DEV_264140_555-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_6,DEV_264140_554,DEV_264140_554-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_7,DEV_264140_541,DEV_264140_541-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_8,DEV_264140_526,DEV_264140_526-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_9,DEV_264140_530,DEV_264140_530-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_10,DEV_264140_520,DEV_264140_520-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_11,DEV_264140_515,DEV_264140_515-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_12,DEV_264140_511,DEV_264140_511-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_13,DEV_264140_2144,DEV_264140_2144-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_14,DEV_264140_512,DEV_264140_512-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_15,DEV_264140_560,DEV_264140_560-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_16,DEV_264140_0_560,DEV_264140_0_560-1,0.24,1.308574706,OH_51120111_1
OH_51120111_1_17,DEV_264140_1_560,DEV_264140_1_560-1,0.24,1.308574706,OH_51120111_1
OH_51267191_1_1,DEV_51267197_1338,DEV_51267197_1338-1,0.24,1.5360175,OH_51267191_1
OH_51267191_1_2,DEV_51267197_1333,DEV_51267197_1333-1,0.24,1.5360175,OH_51267191_1
OH_51267191_1_3,DEV_51267197_1327,DEV_51267197_1327-1,0.24,1.5360175,OH_51267191_1
OH_51267191_1_4,DEV_51267197_1332,DEV_51267197_1332-1,0.24,1.5360175,OH_51267191_1
OH_51267194_1_1,DEV_51267202_708,DEV_51267202_708-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_2,DEV_51267202_711,DEV_51267202_711-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_3,DEV_51267202_709,DEV_51267202_709-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_4,DEV_51267202_1033,DEV_51267202_1033-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_5,DEV_51267202_712,DEV_51267202_712-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_6,DEV_51267202_715,DEV_51267202_715-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_7,DEV_51267202_716,DEV_51267202_716-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_8,DEV_51267202_720,DEV_51267202_720-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_9,DEV_51267202_719,DEV_51267202_719-1,0.24,1.024011667,OH_51267194_1
OH_51267194_1_10,DEV_51267202_0_P49,DEV_51267202_0_P49-1,0.24,1.024011667,OH_51267194_1
