Hour=0, Sec=0, ControlIter=27, Element=Regulator.regxfmr_b18865, Action= CHANGED -1 TAPS TO 1.
Hour=0, Sec=0, ControlIter=27, Element=Regulator.regxfmr_b18864, Action= CHANGED -1 TAPS TO 1.01875.
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**ARMED**, DELAY= 90 SEC
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4909-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b4877-1, Action=**RESET**
Hour=0, Sec=0, ControlIter=1, Element=Capacitor.b18944, Action=**RESET**
