Powers-0,Powers-1,Powers-2,Powers-3
3.271184,0.665093,-3.261594,-0.662295
3.278744,0.666659,-3.269109,-0.663848
3.172771,0.645054,-3.16376,-0.642429
3.104704,0.631195,-3.096082,-0.628686
2.991185,0.608084,-2.983192,-0.605763
3.044145,0.618866,-3.035862,-0.616459
2.945822,0.598849,-2.938073,-0.596601
2.719011,0.552691,-2.71234,-0.550764
2.66608,0.541917,-2.65967,-0.540069
2.54511,0.517298,-2.539276,-0.515622
2.446884,0.497341,-2.441498,-0.495799
2.386405,0.484685,-2.381286,-0.483222
2.341053,0.475532,-2.336129,-0.474128
2.235306,0.454295,-2.230822,-0.453022
2.295786,0.466895,-2.291053,-0.465547
2.257934,0.458656,-2.253358,-0.457356
2.235287,0.454131,-2.230803,-0.452858
2.091896,0.424882,-2.087924,-0.423761
2.076713,0.421914,-2.072799,-0.420811
2.122064,0.43149,-2.117975,-0.430334
2.069176,0.42016,-2.065291,-0.419066
2.106948,0.428372,-2.102918,-0.427234
2.084292,0.423413,-2.08035,-0.422301
2.084295,0.423545,-2.080352,-0.422433
2.046534,0.415641,-2.042734,-0.414572
2.031424,0.4127,-2.027681,-0.411648
2.046539,0.415954,-2.042739,-0.414885
2.046538,0.415865,-2.042738,-0.414796
2.084301,0.423767,-2.080358,-0.422655
2.152301,0.437768,-2.148093,-0.436577
2.159821,0.438953,-2.155584,-0.437753
2.220255,0.451542,-2.215774,-0.450269
2.16734,0.44014,-2.163073,-0.438931
2.220252,0.451499,-2.215771,-0.450226
2.056756,0.417998,-2.052918,-0.416917
2.104143,0.427858,-2.100123,-0.426723
2.211519,0.449392,-2.207073,-0.44813
1.228649,0.470473,-1.227143,-0.47009
0.220217,0.487303,-0.219969,-0.487295
-0.000313,0.504636,0.000533,-0.504636
-0.000681,0.517097,0.000914,-0.517093
-0.711774,0.525011,0.712456,-0.524873
-4.474576,0.546094,4.49208,-0.540933
-0.000719,0.553594,0.00099,-0.553578
-0.000534,0.570132,0.00082,-0.570111
-8.064896,0.600916,8.12114,-0.584184
-8.906497,0.616099,8.974822,-0.595759
-9.122078,0.631305,9.193719,-0.609975
-10.541411,0.640877,10.636419,-0.612568
-7.998269,0.626458,8.05368,-0.609975
-13.993365,0.66433,14.158215,-0.615161
-14.059044,0.664779,14.225398,-0.615161
-15.03151,0.688622,15.221003,-0.632093
-16.33012,0.710282,16.552647,-0.643886
-16.892175,0.7187,17.129705,-0.647824
-16.84166,0.728864,17.077919,-0.658367
-16.860363,0.72505,17.0971,-0.654411
-16.718895,0.730522,16.951866,-0.661008
-16.803667,0.736486,17.038893,-0.666299
-16.361802,0.730328,16.58528,-0.663648
-16.765576,0.744149,16.999837,-0.674249
-16.765645,0.74416,16.999919,-0.674256
-16.066222,0.742636,16.282078,-0.678233
-16.695413,0.758268,16.927925,-0.68889
-16.740079,0.749292,16.973752,-0.679568
-15.37656,0.734728,15.574842,-0.675574
-15.483862,0.743526,15.684887,-0.683552
-15.120562,0.738165,15.312545,-0.680893
-13.598557,0.728849,13.754879,-0.682227
-13.203293,0.738284,13.350989,-0.694238
-13.291569,0.730827,13.441141,-0.686221
-12.196372,0.727967,12.322961,-0.690225
-11.472579,0.735792,11.585029,-0.702273
-7.982134,0.712065,8.037574,-0.695573
-9.406794,0.720997,9.483175,-0.698251
-9.026343,0.729977,9.096854,-0.708984
-7.548671,0.719743,7.598416,-0.704952
-6.548439,0.722872,6.586159,-0.711672
-5.238175,0.7297,5.26263,-0.722461
-2.953697,0.71401,2.961745,-0.711672
-1.387649,0.714943,1.389788,-0.714369
-0.357517,0.710426,0.358068,-0.710328
1.628902,0.707839,-1.626167,-0.707089
2.097387,0.720872,-2.093113,-0.719661
3.536049,0.719049,-3.524662,-0.715713
3.596906,0.731445,-3.585116,-0.727989
3.574195,0.726819,-3.562556,-0.723408
3.672486,0.746825,-3.660344,-0.743265
3.899804,0.793136,-3.886078,-0.789102
3.88464,0.790046,-3.871023,-0.786045
3.793713,0.771521,-3.780739,-0.767712
3.733072,0.759167,-3.720518,-0.755484
3.808874,0.77461,-3.795794,-0.770769
3.634617,0.739111,-3.62273,-0.735627
3.581597,0.728311,-3.570061,-0.724932
3.543735,0.720599,-3.532446,-0.717294
3.422568,0.695921,-3.412052,-0.692847
3.392316,0.68976,-3.381988,-0.686742
3.271184,0.665093,-3.261594,-0.662295
3.134939,0.637351,-3.126145,-0.634791
2.960958,0.60193,-2.953128,-0.599659
2.787079,0.566545,-2.780065,-0.564516
2.832432,0.575777,-2.825184,-0.573679
2.673668,0.543462,-2.667221,-0.541602
2.560235,0.520376,-2.554331,-0.518679
